Freq,normFlux
1930.22,0.985679
1930.23,1.00446
1930.24,0.966761
1930.25,0.997259
1930.25,1.02853
1930.26,0.984085
1930.27,0.995079
1930.28,0.985017
1930.29,1.01085
1930.29,1.00858
1930.30,0.994422
1930.31,1.02031
1930.32,1.06768
1930.32,1.01569
1930.33,1.00756
1930.34,0.998156
1930.35,0.977511
1930.35,0.978179
1930.36,0.997931
1930.37,1.01374
1930.38,1.04779
1930.38,1.02077
1930.39,1.01254
1930.40,0.987170
1930.41,0.985748
1930.41,0.983042
1930.42,0.976260
1930.43,1.01184
1930.44,1.01187
1930.45,0.996021
1930.45,0.993563
1930.46,1.01092
1930.47,0.980561
1930.48,0.956562
1930.48,0.966324
1930.49,0.993484
1930.50,0.981783
1930.51,0.995133
1930.51,0.998870
1930.52,0.999751
1930.53,0.987220
1930.54,0.972067
1930.54,1.03776
1930.55,1.06404
1930.56,0.983511
1930.57,1.01891
1930.57,1.04876
1930.58,0.990532
1930.59,0.959265
1930.60,1.01517
1930.61,1.00156
1930.61,0.966335
1930.62,0.980846
1930.63,0.984620
1930.64,1.00456
1930.64,0.997030
1930.65,1.01718
1930.66,1.01502
1930.67,1.01355
1930.67,0.999772
1930.68,1.02977
1930.69,1.01934
1930.70,0.971312
1930.70,0.991017
1930.71,1.00413
1930.72,0.998857
1930.73,1.01539
1930.74,0.967694
1930.74,1.00477
1930.75,0.970056
1930.76,0.989344
1930.77,1.03620
1930.77,1.02970
1930.78,0.993653
1930.79,1.02856
1930.80,1.01758
1930.80,0.986623
1930.81,0.968779
1930.82,1.01539
1930.83,0.982030
1930.83,0.990515
1930.84,0.984119
1930.85,0.978218
1930.86,0.988840
1930.86,1.00295
1930.87,1.01033
1930.88,0.974494
1930.89,1.00995
1930.90,1.00260
1930.90,0.992639
1930.91,0.997162
1930.92,0.994130
1930.93,1.01601
1930.93,1.00008
1930.94,0.953793
1930.95,0.976708
1930.96,1.01925
1930.96,1.03825
1930.97,1.00691
1930.98,1.03523
1930.99,1.00164
1930.99,1.01447
1931.00,0.993988
1931.01,1.01100
1931.02,0.997157
1931.02,1.01070
1931.03,1.02195
1931.04,1.00516
1931.05,1.03743
1931.06,1.02116
1931.06,1.00142
1931.07,0.987625
1931.08,0.971639
1931.09,0.976726
1931.09,1.01619
1931.10,1.01349
1931.11,1.00721
1931.12,0.948471
1931.12,0.923491
1931.13,0.970360
1931.14,1.01470
1931.15,0.999027
1931.15,0.972623
1931.16,0.991784
1931.17,1.00327
1931.18,1.00277
1931.18,1.01988
1931.19,0.996950
1931.20,1.02109
1931.21,1.00536
1931.22,0.997792
1931.22,1.01180
1931.23,1.00454
1931.24,0.994058
1931.25,1.00178
1931.25,0.994620
1931.26,0.982300
1931.27,1.01991
1931.28,1.01044
1931.28,0.992490
1931.29,0.995072
1931.30,1.01597
1931.31,0.996479
1931.31,0.979993
1931.32,1.01055
1931.33,0.995506
1931.34,0.980726
1931.34,0.988878
1931.35,0.994583
1931.36,0.999114
1931.37,1.00158
1931.38,1.00807
1931.38,1.00261
1931.39,0.992486
1931.40,1.01017
1931.41,1.00768
1931.41,0.999085
1931.42,1.01284
1931.43,1.00758
1931.44,1.01220
1931.44,1.00710
1931.45,1.01393
1931.46,1.03730
1931.47,1.01812
1931.47,1.01623
1931.48,0.982397
1931.49,0.985621
1931.50,1.00490
1931.51,1.02897
1931.51,1.01926
1931.52,0.994885
1931.53,0.979740
1931.54,0.981746
1931.54,0.998911
1931.55,0.977287
1931.56,0.996040
1931.57,0.986990
1931.57,1.01069
1931.58,0.999983
1931.59,1.00079
1931.60,1.00346
1931.60,1.01374
1931.61,0.993308
1931.62,0.971698
1931.63,0.975195
1931.64,0.991621
1931.64,1.00767
1931.65,1.00660
1931.66,1.00796
1931.67,1.00387
1931.67,0.987305
1931.68,0.974173
1931.69,0.984550
1931.70,1.01514
1931.70,1.02600
1931.71,1.03143
1931.72,1.03015
1931.73,1.00507
1931.73,0.980608
1931.74,0.985273
1931.75,0.969734
1931.76,0.998999
1931.77,1.01498
1931.77,0.984368
1931.78,1.01033
1931.79,1.00029
1931.80,0.999720
1931.80,0.998398
1931.81,0.970399
1931.82,0.971311
1931.83,1.00528
1931.83,1.02241
1931.84,1.01659
1931.85,1.00808
1931.86,0.979458
1931.86,0.990451
1931.87,1.00602
1931.88,0.989473
1931.89,0.993399
1931.90,1.00391
1931.90,1.01919
1931.91,1.01726
1931.92,1.00547
1931.93,0.985578
1931.93,0.997195
1931.94,0.994955
1931.95,0.993784
1931.96,0.969886
1931.96,0.971653
1931.97,0.987383
1931.98,1.04060
1931.99,1.02455
1931.99,1.03194
1932.00,1.03577
1932.01,0.979839
1932.02,0.993634
1932.03,1.02458
1932.03,1.04382
1932.04,Inf
1932.05,1.04341
1932.06,1.03771
1932.06,1.00156
1932.07,0.968187
1932.08,Inf
1932.09,Inf
1932.09,Inf
1932.10,Inf
1932.11,Inf
1932.12,Inf
1932.13,Inf
1932.13,Inf
1932.14,Inf
1932.15,Inf
1932.16,Inf
1932.16,Inf
1932.17,1.01987
1932.18,1.00046
1932.19,0.985344
1932.19,0.980730
1932.20,0.969179
1932.21,1.00556
1932.22,1.01035
1932.23,1.00970
1932.23,0.987111
1932.24,0.992452
1932.25,0.988809
1932.26,1.00989
1932.26,1.05332
1932.27,1.04308
1932.28,1.01838
1932.29,1.01724
1932.29,1.03742
1932.30,1.01839
1932.31,1.02146
1932.32,0.997218
1932.33,1.00556
1932.33,1.02117
1932.34,1.01170
1932.35,1.01359
1932.36,0.961086
1932.36,0.901082
1932.37,0.972821
1932.38,1.08854
1932.39,1.01185
1932.39,0.986565
1932.40,1.01570
1932.41,Inf
1932.42,Inf
1932.43,1.08435
1932.43,1.00585
1932.44,0.925433
1932.45,0.880570
1932.46,0.950331
1932.46,0.926193
1932.47,0.878982
1932.48,Inf
1932.49,Inf
1932.49,Inf
1932.50,Inf
1932.51,Inf
1932.52,Inf
1932.53,Inf
1932.53,Inf
1932.54,Inf
1932.55,Inf
1932.56,Inf
1932.56,Inf
1932.57,Inf
1932.58,Inf
1932.59,Inf
1932.60,Inf
1932.60,Inf
1932.61,Inf
1932.62,Inf
1932.63,Inf
1932.63,Inf
1932.64,Inf
1932.65,Inf
1932.66,Inf
1932.66,Inf
1932.67,NaN
1932.68,NaN
1932.69,NaN
1932.70,NaN
1932.70,NaN
1932.71,NaN
1932.72,NaN
1932.73,NaN
1932.73,NaN
1932.74,NaN
1932.75,NaN
1932.76,NaN
1932.77,NaN
1932.77,NaN
1932.78,NaN
1932.79,NaN
1932.80,NaN
1932.80,NaN
1932.81,NaN
1932.82,NaN
1932.83,NaN
1932.84,NaN
1932.84,NaN
1932.85,NaN
1932.86,NaN
1932.87,NaN
1932.87,NaN
1932.88,NaN
1932.89,NaN
1932.90,NaN
1932.91,NaN
1932.91,NaN
1932.92,NaN
1932.93,NaN
1932.94,NaN
1932.94,NaN
1932.95,NaN
1932.96,NaN
1932.97,NaN
1932.98,NaN
1932.98,NaN
1932.99,NaN
1933.00,NaN
1933.01,NaN
1933.01,NaN
1933.02,NaN
1933.03,NaN
1933.04,NaN
1933.05,NaN
1933.05,NaN
1933.06,NaN
1933.07,NaN
1933.08,NaN
1933.08,NaN
1933.09,NaN
1933.10,NaN
1933.11,NaN
1933.12,NaN
1933.12,NaN
1933.13,NaN
1933.14,NaN
1933.15,NaN
1933.15,NaN
1933.16,NaN
1933.17,NaN
1933.18,NaN
1933.19,NaN
1933.19,NaN
1933.20,NaN
1933.21,NaN
1933.22,NaN
1933.23,NaN
1933.23,Inf
1933.24,Inf
1933.25,Inf
1933.26,Inf
1933.26,Inf
1933.27,Inf
1933.28,Inf
1933.29,Inf
1933.30,Inf
1933.30,Inf
1933.31,Inf
1933.32,Inf
1933.33,Inf
1933.33,Inf
1933.34,Inf
1933.35,Inf
1933.36,Inf
1933.37,Inf
1933.37,Inf
1933.38,Inf
1933.39,Inf
1933.40,Inf
1933.41,Inf
1933.41,Inf
1933.42,Inf
1933.43,1.06615
1933.44,1.04330
1933.44,0.924133
1933.45,0.916968
1933.46,0.947561
1933.47,Inf
1933.48,Inf
1933.48,Inf
1933.49,Inf
1933.50,Inf
1933.51,Inf
1933.52,1.02325
1933.52,1.05569
1933.53,1.06931
1933.54,1.04464
1933.55,1.06576
1933.56,1.05253
1933.56,1.01770
1933.57,0.974556
1933.58,1.00628
1933.59,1.01605
1933.59,0.958262
1933.60,0.976429
1933.61,0.999152
1933.62,0.977610
1933.63,0.935605
1933.63,0.909093
1933.64,0.940933
1933.65,1.02969
1933.66,1.04868
1933.67,1.05231
1933.67,1.06144
1933.68,1.06967
1933.69,0.988162
1933.70,0.962567
1933.70,0.981608
1933.71,1.01169
1933.72,0.995772
1933.73,0.998626
1933.74,1.00218
1933.74,1.02556
1933.75,1.03748
1933.76,1.00768
1933.77,1.01469
1933.78,0.998767
1933.78,0.935728
1933.79,0.949097
1933.80,0.914947
1933.81,0.948142
1933.82,0.935761
1933.82,0.977046
1933.83,1.02180
1933.84,1.05283
1933.85,1.01788
1933.86,1.01190
1933.86,1.01160
1933.87,1.00591
1933.88,0.978458
1933.89,1.01306
1933.90,1.01790
1933.90,1.01993
1933.91,1.00549
1933.92,1.00373
1933.93,0.982540
1933.93,0.981128
1933.94,0.977510
1933.95,0.967148
1933.96,1.00286
1933.97,0.986374
1933.97,0.987469
1933.98,0.975215
1933.99,0.972811
1934.00,1.01071
1934.01,1.03126
1934.01,1.02708
1934.02,1.04552
1934.03,1.01716
1934.04,0.991415
1934.05,0.969550
1934.05,0.990776
1934.06,1.00024
1934.07,1.00822
1934.08,1.00878
1934.09,1.04211
1934.09,0.991543
1934.10,1.01094
1934.11,1.01756
1934.12,1.00399
1934.13,1.00930
1934.13,0.998562
1934.14,0.983822
1934.15,0.993371
1934.16,1.00041
1934.17,0.973199
1934.17,0.975752
1934.18,0.992241
1934.19,0.970719
1934.20,1.01275
1934.21,1.05912
1934.21,1.04088
1934.22,1.04557
1934.23,0.999149
1934.24,0.996739
1934.25,0.987707
1934.25,1.01927
1934.26,0.981885
1934.27,0.989347
1934.28,0.992718
1934.29,1.02452
1934.29,1.01647
1934.30,1.01300
1934.31,1.02497
1934.32,1.01982
1934.33,1.01912
1934.33,1.04312
1934.34,1.00000
1934.35,1.00000
1934.36,1.00000
1934.37,1.00000
1934.37,1.00000
1934.38,1.00000
1934.39,1.00000
1934.40,1.00000
1934.41,1.00000
1934.41,1.00000
1934.42,1.00000
1934.43,1.00000
1934.44,1.00000
1934.45,1.00000
1934.45,1.00000
1934.46,1.00000
1934.47,1.00000
1934.48,1.00000
1934.49,1.00000
1934.49,1.00000
1934.50,1.00000
1934.51,1.00000
1934.52,1.00000
1934.53,1.00000
1934.53,1.01645
1934.54,1.01297
1934.55,1.01473
1934.56,1.00391
1934.57,0.977035
1934.57,0.959567
1934.58,0.963525
1934.59,0.992367
1934.60,0.971420
1934.61,0.991906
1934.61,0.994711
1934.62,0.989595
1934.63,0.991905
1934.64,1.01111
1934.65,1.00873
1934.65,1.00204
1934.66,0.996179
1934.67,0.989867
1934.68,1.01594
1934.69,1.01062
1934.69,1.01958
1934.70,1.00678
1934.71,1.00946
1934.72,1.00006
1934.73,1.00956
1934.73,1.01091
1934.74,1.00494
1934.75,1.01128
1934.76,0.991058
1934.77,0.997448
1934.77,1.02716
1934.78,1.04073
1934.79,1.04205
1934.80,0.994792
1934.81,0.979044
1934.81,1.00405
1934.82,0.997754
1934.83,0.987895
1934.84,1.00217
1934.85,0.996900
1934.86,1.01320
1934.86,1.03417
1934.87,1.00996
1934.88,1.02226
1934.89,0.991778
1934.90,1.00338
1934.90,1.00095
1934.91,1.01280
1934.92,1.00653
1934.93,0.996187
1934.94,0.979921
1934.94,0.991920
1934.95,0.987217
1934.96,0.977256
1934.97,0.974987
1934.98,0.968528
1934.98,0.986968
1934.99,1.00371
1935.00,0.978346
1935.01,0.988841
1935.02,1.01317
1935.02,0.973614
1935.03,0.979920
1935.04,0.990012
1935.05,0.977724
1935.06,0.980651
1935.06,0.990812
1935.07,1.01981
1935.08,1.00588
1935.09,1.00309
1935.10,0.977452
1935.10,0.982803
1935.11,0.987287
1935.12,0.996335
1935.13,1.01441
1935.14,0.991450
1935.14,1.00114
1935.15,0.980817
1935.16,0.980011
1935.17,0.957404
1935.18,0.971662
1935.19,0.986926
1935.19,0.983043
1935.20,0.978635
1935.21,0.980988
1935.22,0.994965
1935.23,0.975194
1935.23,0.969811
1935.24,0.990015
1935.25,0.975873
1935.26,0.976602
1935.27,1.00217
1935.27,0.982508
1935.28,1.02400
1935.29,1.00845
1935.30,1.00330
1935.31,0.999027
1935.31,1.02051
1935.32,1.01504
1935.33,1.05208
1935.34,1.09552
1935.35,1.02522
1935.35,1.02671
1935.36,1.00665
1935.37,1.02572
1935.38,1.00759
1935.39,1.01870
1935.39,1.00949
1935.40,0.987641
1935.41,0.992635
1935.42,0.992968
1935.43,0.989459
1935.44,0.975284
1935.44,0.996309
1935.45,0.998954
1935.46,0.985935
1935.47,1.00684
1935.48,1.01000
1935.48,0.989717
1935.49,1.00688
1935.50,0.986511
1935.51,0.966997
1935.52,0.977004
1935.52,0.987732
